edge_abs,unfillable_rate,axis,model,horizon_min,rel_spread_t
,0.026820148391769934,spread_decile,lgbm,60,8.0
,0.36010256875737495,spread_decile,lgbm,60,9.0
0.0,0.059698409419541416,edge_decile,tcn,60,
1.0,0.05350244789192092,edge_decile,tcn,60,
2.0,0.0487296013220409,edge_decile,tcn,60,
3.0,0.04590055568179471,edge_decile,tcn,60,
4.0,0.03792604833712043,edge_decile,tcn,60,
5.0,0.029643248156334567,edge_decile,tcn,60,
6.0,0.02204135594620835,edge_decile,tcn,60,
7.0,0.01520347035736418,edge_decile,tcn,60,
8.0,0.008882645789006176,edge_decile,tcn,60,
9.0,0.003635612476761,edge_decile,tcn,60,
,0.0011495432618290054,spread_decile,tcn,60,0.0
,0.0003947395757588349,spread_decile,tcn,60,1.0
,0.0005948717948717949,spread_decile,tcn,60,2.0
,0.0005191353281973545,spread_decile,tcn,60,3.0
,0.0024204210312213973,spread_decile,tcn,60,4.0
,0.001539882968894364,spread_decile,tcn,60,5.0
,0.001394584018483442,spread_decile,tcn,60,6.0
,0.0019541189162782177,spread_decile,tcn,60,7.0
,0.021893374796704376,spread_decile,tcn,60,8.0
,0.3565710219330572,spread_decile,tcn,60,9.0
