horizon_min,model,lam_policy,theta,slippage,scope,n_decisions,n_matched,n_gated,n_fillable,pass_rate,unfillable_rate,gross_mean,entry_cost_markout_mean,entry_cost_markout_median,roundtrip_touch_net_mean,hit_rate,sum_entry_markout
5,lgbm,raw,1.0,0.0,in_scope,741221,688678,313571,310099,0.42304656775779426,0.01107245249082345,0.0009555025608278811,-0.005031198263168335,-0.004847065079957247,-0.011466916650533676,0.29282906426657296,-1560.1695556640625
5,lgbm,raw,1.0,0.005,in_scope,741221,688678,167072,164829,0.22540106122195674,0.013425349549894655,0.001485562650486827,-0.009783357381820679,-0.009738091379404068,-0.016487518325448036,0.206656595623343,-1612.5810546875
5,lgbm,raw,1.0,0.01,in_scope,741221,688678,99041,97549,0.1336187183039876,0.015064468250522512,0.002011792967095971,-0.014570078812539577,-0.014633085578680038,-0.021562563255429268,0.1673210386574952,-1421.296630859375
5,lgbm,raw,1.5,0.0,in_scope,741221,688678,217831,215058,0.2938813120513315,0.012730052196427507,0.0011865099659189582,-0.004706505220383406,-0.004734543617814779,-0.011090921238064766,0.29630146286118164,-1012.1715698242188
5,lgbm,raw,1.5,0.005,in_scope,741221,688678,122279,120486,0.16496969190025648,0.014663188282534205,0.0017589693889021873,-0.009407555684447289,-0.009623982943594456,-0.016040485352277756,0.20988330594425908,-1133.478759765625
5,lgbm,raw,1.5,0.01,in_scope,741221,688678,75660,74429,0.10207481979058877,0.01627015596087761,0.0023886573035269976,-0.014063935726881027,-0.014520114287734032,-0.020957281813025475,0.16993376237756788,-1046.7646484375
5,lgbm,raw,2.0,0.0,in_scope,741221,688678,156784,154533,0.21152126019095518,0.01435733238085519,0.0014450624585151672,-0.004395372699946165,-0.004648095462471247,-0.010748190805315971,0.2995282561006387,-679.2301635742188
5,lgbm,raw,2.0,0.005,in_scope,741221,688678,92464,90976,0.1247455212413032,0.016092749610659283,0.0019647344015538692,-0.009130224585533142,-0.009550380520522594,-0.015711411833763123,0.21230874076679565,-830.6312866210938
5,lgbm,raw,2.0,0.01,in_scope,741221,688678,59253,58244,0.07993972108183658,0.017028673653654666,0.0027265793178230524,-0.013650127686560154,-0.014409705996513367,-0.020505685359239578,0.17344275805233156,-795.0380249023438
5,lgbm,raw,1.0,0.0,out_of_scope,1291344,1291302,449008,448846,0.3477059559652579,0.00036079535331219045,0.0018710030708462,-0.010194294154644012,-0.007581489160656929,-0.024416474625468254,0.3591343133279566,-4575.66796875
5,lgbm,raw,1.0,0.005,out_of_scope,1291344,1291302,293944,293821,0.22762641093310534,0.00041844705113899247,0.0024883593432605267,-0.015430271625518799,-0.012580933049321175,-0.03049386665225029,0.2891998870060343,-4533.73779296875
5,lgbm,raw,1.0,0.01,out_of_scope,1291344,1291302,205172,205075,0.15888252859036786,0.0004727740627376055,0.0029214697424322367,-0.020744627341628075,-0.01758238673210144,-0.03648655116558075,0.23775204193587712,-4254.20458984375
5,lgbm,raw,1.5,0.0,out_of_scope,1291344,1291302,293167,293063,0.22702471223779255,0.0003547466119993042,0.002454380737617612,-0.009040416218340397,-0.006751087494194508,-0.022758541628718376,0.36495565799845087,-2649.41162109375
5,lgbm,raw,1.5,0.005,out_of_scope,1291344,1291302,199361,199286,0.15438256576094364,0.00037620196527906664,0.002900252817198634,-0.014432700350880623,-0.011853838339447975,-0.028954818844795227,0.2869293377357165,-2876.235107421875
5,lgbm,raw,1.5,0.01,out_of_scope,1291344,1291302,144455,144400,0.11186407339949696,0.00038074140735869303,0.0034171275328844786,-0.019609950482845306,-0.01680518314242363,-0.034767843782901764,0.23510387811634348,-2831.6767578125
5,lgbm,raw,2.0,0.0,out_of_scope,1291344,1291302,203269,203201,0.15740887013839844,0.00033453207326252405,0.002794950269162655,-0.008272760547697544,-0.006204932928085327,-0.02158268354833126,0.3670700439466341,-1681.033203125
5,lgbm,raw,2.0,0.005,out_of_scope,1291344,1291302,143563,143514,0.11117332019972989,0.00034131356965234774,0.003211151110008359,-0.013648283667862415,-0.01129225455224514,-0.0277022086083889,0.2845297322909263,-1958.7197265625
5,lgbm,raw,2.0,0.01,out_of_scope,1291344,1291302,107407,107366,0.08317458399930615,0.0003817255858556705,0.0037316419184207916,-0.018767425790429115,-0.016313787549734116,-0.033411819487810135,0.2309390309781495,-2014.9833984375
5,lgbm,wf,1.0,0.0,in_scope,741221,688678,298563,295225,0.4027988953362088,0.011180219920083868,0.0009821598650887609,-0.004994332790374756,-0.00483644800260663,-0.011427070945501328,0.2930950969599458,-1474.451904296875
5,lgbm,wf,1.0,0.005,in_scope,741221,688678,155017,152907,0.20913735579537007,0.013611410361444228,0.0015458823181688786,-0.00973636656999588,-0.009721236303448677,-0.016458885744214058,0.20843388464883883,-1488.7586669921875
5,lgbm,wf,1.0,0.01,in_scope,741221,688678,90307,88932,0.12183545798081814,0.015225840743242494,0.002113439841195941,-0.014497790485620499,-0.014618403278291225,-0.021530412137508392,0.16971393873971125,-1289.3175048828125
5,lgbm,wf,1.5,0.0,in_scope,741221,688678,204213,201560,0.27550892378926123,0.012991337476066655,0.0012408785987645388,-0.004647566471248865,-0.0047241030260920525,-0.011034374125301838,0.29709267711847587,-936.7634887695312
